File,Author,ChurnSize
components/camel-cdi/src/test/resources,Hadrian Zbarcea,
components/camel-cometd,Hadrian Zbarcea,1814.0
components/camel-cometd/src/main/java/org/apache/camel/component/cometd,Hadrian Zbarcea,
components/camel-cometd/src/test/java/org/apache/camel/component/cometd,Hadrian Zbarcea,
components/camel-context,Hadrian Zbarcea,1814.0
components/camel-core-osgi,Hadrian Zbarcea,1814.0
components/camel-core-osgi/src/main/java/org/apache/camel/core/osgi,Hadrian Zbarcea,
components/camel-core-osgi/src/test/java/org/apache/camel/core/osgi,Hadrian Zbarcea,
components/camel-core-osgi/src/test/java/org/apache/camel/core/osgi/test,Hadrian Zbarcea,
components/camel-core-xml,Hadrian Zbarcea,1814.0
components/camel-core-xml/src/main/java/org/apache/camel/core/xml,Hadrian Zbarcea,85.0
components/camel-core-xml/src/main/java/org/apache/camel/core/xml/util/jsse,Hadrian Zbarcea,
components/camel-crypto,Hadrian Zbarcea,1814.0
components/camel-crypto/src/test/java/org/apache/camel/converter/crypto,Hadrian Zbarcea,
components/camel-csv,Hadrian Zbarcea,1814.0
components/camel-csv/src/main/java/org/apache/camel/dataformat/csv,Hadrian Zbarcea,
components/camel-csv/src/test/java/org/apache/camel/dataformat/csv,Hadrian Zbarcea,
components/camel-csv/src/test/resources/org/apache/camel/dataformat/csv,Hadrian Zbarcea,
components/camel-cxf,Hadrian Zbarcea,1814.0
components/camel-cxf-transport,Hadrian Zbarcea,1814.0
components/camel-cxf-transport/src/main/java/org/apache/camel/component/cxf/common/message,Hadrian Zbarcea,
components/camel-cxf-transport/src/main/java/org/apache/camel/component/cxf/transport,Hadrian Zbarcea,
components/camel-cxf-transport/src/test/java/org/apache/camel/component/cxf/transport,Hadrian Zbarcea,
components/camel-cxf/src/main/java/org/apache/camel/component/cxf,Hadrian Zbarcea,128.0
components/camel-cxf/src/main/java/org/apache/camel/component/cxf/converter,Hadrian Zbarcea,
components/camel-cxf/src/main/java/org/apache/camel/component/cxf/feature,Hadrian Zbarcea,
components/camel-cxf/src/main/java/org/apache/camel/component/cxf/jaxrs,Hadrian Zbarcea,
components/camel-cxf/src/main/resources/META-INF,Hadrian Zbarcea,
components/camel-cxf/src/test/java/org/apache/camel/component/cxf,Hadrian Zbarcea,39.0
components/camel-cxf/src/test/java/org/apache/camel/component/cxf/converter,Hadrian Zbarcea,
components/camel-cxf/src/test/java/org/apache/camel/component/cxf/cxfbean,Hadrian Zbarcea,
components/camel-cxf/src/test/java/org/apache/camel/component/cxf/jaxrs,Hadrian Zbarcea,
components/camel-cxf/src/test/java/org/apache/camel/component/cxf/jaxrs/testbean,Hadrian Zbarcea,
components/camel-cxf/src/test/java/org/apache/camel/component/cxf/spring,Hadrian Zbarcea,
