Author,File,NumLines
Jeremy Rayner,src/main/org/codehaus/groovy/runtime,115.0
Jim White,src/main/org/codehaus/groovy/runtime,2.0
Jim White,src/main/org/codehaus/groovy/runtime/metaclass,7.0
Joachim Baumann,src/main/org/codehaus/groovy/runtime,158.0
Jochen Theodorou,src/main/org/codehaus/groovy/antlr,850.0
Jochen Theodorou,src/main/org/codehaus/groovy/antlr/treewalker,56.0
Jochen Theodorou,src/main/org/codehaus/groovy/ast/expr,668.0
Jochen Theodorou,src/main/org/codehaus/groovy/ast/stmt,84.0
Jochen Theodorou,src/main/org/codehaus/groovy/runtime,3155.0
Jochen Theodorou,src/main/org/codehaus/groovy/runtime/metaclass,2829.0
Jochen Theodorou,src/main/org/codehaus/groovy/runtime/typehandling,827.0
Jochen Theodorou,src/main/org/codehaus/groovy/runtime/wrappers,230.0
John Rose,src/main/org/codehaus/groovy/antlr,92.0
John Stump,src/main/org/codehaus/groovy/runtime,1.0
John Wilson,src/main/org/codehaus/groovy/runtime,510.0
John Wilson,src/main/org/codehaus/groovy/runtime/metaclass,38.0
John Wilson,src/main/org/codehaus/groovy/runtime/wrappers,430.0
Kasper Nielsen,src/main/org/codehaus/groovy/runtime,37.0
Marc Guillemot,src/main/org/codehaus/groovy/runtime,124.0
Marc Guillemot,src/main/org/codehaus/groovy/runtime/metaclass,1.0
Marc Guillemot,src/main/org/codehaus/groovy/runtime/typehandling,6.0
Martin C. Martin,src/main/org/codehaus/groovy/runtime,136.0
Martin Kempf,src/main/org/codehaus/groovy/antlr,30.0
Martin Kempf,src/main/org/codehaus/groovy/ast/expr,8.0
Paul King,src/main/org/codehaus/groovy/antlr,120.0
Paul King,src/main/org/codehaus/groovy/antlr/java,10.0
Paul King,src/main/org/codehaus/groovy/antlr/treewalker,41.0
Paul King,src/main/org/codehaus/groovy/ast/expr,51.0
Paul King,src/main/org/codehaus/groovy/ast/stmt,2.0
Paul King,src/main/org/codehaus/groovy/runtime,5691.0
Paul King,src/main/org/codehaus/groovy/runtime/metaclass,269.0
Paul King,src/main/org/codehaus/groovy/runtime/typehandling,207.0
Pilho Kim,src/main/org/codehaus/groovy/antlr,143.0
Pilho Kim,src/main/org/codehaus/groovy/ast/expr,156.0
Pilho Kim,src/main/org/codehaus/groovy/runtime,642.0
Pilho Kim,src/main/org/codehaus/groovy/runtime/typehandling,68.0
Russel Winder,src/main/org/codehaus/groovy/antlr,18.0
Russel Winder,src/main/org/codehaus/groovy/runtime,40.0
Sam Pullara,src/main/org/codehaus/groovy/ast/expr,70.0
